agent,reward,pending,energy,time
Policy Iteration,-14.510896278328214,1.0,458.2642000000055,19.489684581756592
Value Iteration,-14.512328205725215,1.0,458.2645200000055,14.22425127029419
SARSA,-30.299181011136433,1.408,444.12548000000544,2059.4347262382507
Q-Learning,-21.15305701260783,1.256,444.9510000000055,1870.5218577384949
Random,-4929.947350145851,348.038,288.10500000000224,0.0
