agent,reward,pending,intentional_pending,forced_pending,energy,time
Policy Iteration,-16.538851867007892,10.31,0.122,10.188,450.3996000000054,31.25391125679016
Value Iteration,-16.53979615746456,10.304,0.122,10.182,450.4335200000055,15.862541675567627
SARSA,-20.723466845134997,13.32,1.81,11.51,443.66744000000534,0.0
Q-Learning,-19.818929994440715,12.536,0.69,11.846,445.1650000000054,0.0
Random,-127.53248502416832,438.38,263.01,175.37,293.9426400000025,0.0
