agent,reward,pending,intentional_pending,forced_pending,energy,time
Policy Iteration,-28.80515217919241,7.026,0.02,7.006,451.66192000000547,31.895297288894653
Value Iteration,-28.804732009600365,7.026,0.02,7.006,451.6556800000054,15.790401458740234
SARSA,-36.22128757833703,18.106,2.006,16.1,443.1297200000053,0.0
Q-Learning,-38.54026248152531,19.92,4.352,15.568,441.45508000000535,1824.1717805862427
Random,-10270.84595543269,429.51,264.288,165.222,294.2972000000025,0.0
