agent,reward,pending,intentional_pending,forced_pending,energy,time
Policy Iteration,-20.931061794437277,9.066,0.038,9.028,450.5846000000054,33.18189191818237
Value Iteration,-20.92510445478601,9.056,0.028,9.028,450.59792000000544,16.68432378768921
SARSA,-23.908655506334,19.156,2.7,16.456,443.74572000000546,0.0
Q-Learning,-32.117220900225334,24.864,6.062,18.802,438.4840800000053,0.0
Random,-5617.8663245557755,414.826,263.742,151.084,293.48764000000244,0.0
