agent,reward,pending,energy,time
Policy Iteration,-23.701933736575707,7.288,451.0607200000055,25.337823390960693
Value Iteration,-23.695946753732574,7.292,451.0604000000055,14.089436292648315
SARSA,-26.335055836817148,9.792,445.7233200000054,2080.9934990406036
Q-Learning,-25.920069627149548,10.012,446.06080000000543,1927.2251663208008
Random,-185.12033307446936,438.418,294.05516000000245,0.0
