-2.619686098390981854e+01,-2.788235939160216148e+01,-2.774117878351189503e+01,-5.744723848517471509e+01
-2.663661688764696578e+01,-3.032803160586572844e+01,-2.849073282212394886e+01,-5.690688949028591281e+01
-2.932795207162152806e+01,-2.777839347679170956e+01,-2.870479752794593864e+01,-5.786502865980801147e+01
-3.123136456926766158e+01,-2.804273759433916524e+01,-3.138392233634246864e+01,-5.779313470608216363e+01
-2.900005472105129911e+01,-3.370076898523656439e+01,-3.511477151021868792e+01,-5.922521793533728385e+01
-3.515460811818052633e+01,-3.042721390110113333e+01,-3.460214732521711056e+01,-6.185635934492529486e+01
-3.494359487006632747e+01,-3.220766356810629105e+01,-3.513659674886971374e+01,-6.177080172175229933e+01
-3.333551709019044296e+01,-3.636021146387254532e+01,-3.717028665372463081e+01,-6.338169245308687749e+01
-3.268240535820539350e+01,-3.914226161786132963e+01,-4.237779483038275430e+01,-6.705045028147023345e+01
-4.761074099499893464e+01,-3.505869442594448770e+01,-5.310997387657968005e+01,-7.199155557386380622e+01
-5.889625981184213543e+01,-3.503989659309016247e+01,-8.285615968039006418e+01,-7.839730190449003544e+01
-2.665157344623147750e+01,-2.816958863406991398e+01,-2.886213807176510571e+01,-5.684138796719786768e+01
-2.766948829015642275e+01,-2.903769949173423015e+01,-2.891391464762157781e+01,-5.798084201049842079e+01
-2.753680409168407195e+01,-2.946354444338018297e+01,-2.969121583986147073e+01,-5.801877350807770028e+01
-2.780155307186314317e+01,-3.287463713437886526e+01,-3.492405764897825549e+01,-5.888831060623816427e+01
-3.035357874542706114e+01,-3.589833058299937818e+01,-3.672604614771086773e+01,-6.054775412010061331e+01
-3.046789972872811347e+01,-3.500753209538156341e+01,-3.570097104327798121e+01,-6.153543904069564263e+01
-3.220095158303097804e+01,-3.649324967081351190e+01,-3.760359497844996923e+01,-6.372451805690761262e+01
-3.867384711445190248e+01,-3.469484577531709135e+01,-3.818540469595933473e+01,-6.466259013554548574e+01
-3.391056656544438397e+01,-3.975911689185978304e+01,-4.313055605690617256e+01,-6.555900400095512737e+01
-3.865911549778522271e+01,-3.861278185127670781e+01,-4.180954398628741586e+01,-6.536443556691423851e+01
-3.434376910126919569e+01,-4.140818368320226739e+01,-7.288670970006177185e+01,-6.498184306670765409e+01
-3.052007722198971607e+01,-2.882323426232614949e+01,-3.131403189036645074e+01,-5.681407436414841783e+01
-3.123568871400521019e+01,-3.043859966039673282e+01,-2.891557080975968930e+01,-5.752175742026400229e+01
-2.927597405116928542e+01,-3.198159496689521220e+01,-3.176754432238871573e+01,-6.031381753454839867e+01
-3.416832342105905695e+01,-3.404818034997067855e+01,-3.200581753216601300e+01,-5.966795573988714096e+01
-3.029292415061293298e+01,-3.479690150268140769e+01,-3.502621997887728611e+01,-6.200500600943208696e+01
-3.133003501397754675e+01,-3.880802751310540799e+01,-3.778939514664616439e+01,-6.327810267898885854e+01
-3.197779551008040855e+01,-3.787561371562723878e+01,-3.823278119826121468e+01,-6.381288678916252621e+01
-3.360439801672600879e+01,-3.946625548843748277e+01,-4.113648087146867738e+01,-6.427156872187089220e+01
-3.456091065521525252e+01,-4.121015887947141465e+01,-4.203287232219260261e+01,-6.598590194119086050e+01
-3.710411034017425891e+01,-4.338682581552243533e+01,-4.279947972113852472e+01,-6.857350145040238942e+01
-3.743162556047353462e+01,-4.387226283470780430e+01,-7.620894581673822188e+01,-6.942210344421916091e+01
-2.839752824247479523e+01,-3.069548608190663685e+01,-3.039853313515380151e+01,-5.839569656426102284e+01
-2.894860824274394773e+01,-3.088971827056968067e+01,-3.057700951626608799e+01,-5.896484237344701285e+01
-3.018677257684935000e+01,-3.341893841954326660e+01,-3.248459031490431670e+01,-6.031190744349132160e+01
-3.082310573406619980e+01,-3.602748501744291332e+01,-3.658692410859102040e+01,-6.138251255830113706e+01
-3.112466798980405613e+01,-4.016016022709350608e+01,-3.712764431116652020e+01,-6.306261645374499381e+01
-4.019293789990572208e+01,-3.695886589947395606e+01,-4.014561837704126646e+01,-6.468122466944448945e+01
-3.549509375686344725e+01,-3.977261245021247049e+01,-3.950681476290755967e+01,-6.605191341190361243e+01
-3.600137007837284386e+01,-4.233227147939413726e+01,-4.228202312543232466e+01,-6.740249969801550378e+01
-3.656794585685776156e+01,-4.435756798071629703e+01,-4.354764527643901317e+01,-6.963792901536567115e+01
-4.662650334957267262e+01,-4.184707023892270428e+01,-4.601694852505950450e+01,-7.089148918208726968e+01
-3.921426121522112851e+01,-4.551083074060319689e+01,-7.771603352039481649e+01,-7.326912617824160634e+01
-2.901886034180624563e+01,-3.239692327290871532e+01,-3.230109114413443905e+01,-5.917688649956635771e+01
-2.898037977548206356e+01,-3.300775281578336973e+01,-3.178290199514957948e+01,-6.128160943231991808e+01
-3.165525259648057954e+01,-3.507563145973453089e+01,-3.348704132550712131e+01,-6.072116206485988954e+01
-3.243539099017593941e+01,-4.048277555111527448e+01,-3.674153926435010931e+01,-6.285695476123564873e+01
-3.264755595146906586e+01,-3.838679012677211233e+01,-3.981017875795031102e+01,-6.326506669028857033e+01
-4.077489860539436961e+01,-4.118052558907026395e+01,-3.990444640565121404e+01,-6.732285886905251004e+01
-3.712782196521806100e+01,-4.358209074547097117e+01,-4.594843818906080202e+01,-6.802337393114711972e+01
-3.733050928972820515e+01,-4.723540737613708274e+01,-4.707897031676213828e+01,-7.066322640201946115e+01
-3.940740460018513147e+01,-4.424992421708532930e+01,-4.768113093357820276e+01,-7.160801086509405877e+01
-4.095972600670642549e+01,-4.761226925576196578e+01,-5.063445389678783926e+01,-7.233222094823504733e+01
-4.085402530578878100e+01,-5.072440991621968465e+01,-8.416291051687404945e+01,-7.401691274290442379e+01
-3.260149304816287241e+01,-3.295102625838520538e+01,-2.974779319242464126e+01,-6.131796718253301748e+01
-3.195874721361547799e+01,-3.536931110903413611e+01,-3.461999658821659409e+01,-6.177560849247132779e+01
-3.764809441711423688e+01,-3.899369640815618965e+01,-3.404436515383753914e+01,-6.217222492409870682e+01
-3.971285498696364868e+01,-4.090012366533844812e+01,-3.752980532804216551e+01,-6.321085135240051756e+01
-3.597522058072537732e+01,-4.085065231630126448e+01,-4.084096631137583699e+01,-6.874965511287886955e+01
-3.567847128924645261e+01,-4.309408766708597938e+01,-4.301384605905980862e+01,-6.763065496957995038e+01
-3.789351063537687736e+01,-4.314081185894921333e+01,-4.472241524549117031e+01,-7.094195054156192271e+01
-4.056634798051250357e+01,-4.498026180045012978e+01,-4.632600289799412963e+01,-7.160990718352010731e+01
-4.124264315504362344e+01,-4.672884635994859082e+01,-4.829040848982143785e+01,-7.248391333351136723e+01
-4.363475194668886559e+01,-4.946779352396363549e+01,-5.048006741513058415e+01,-7.491007663522435678e+01
-4.360783915716895365e+01,-5.137854722716831901e+01,-8.299839612964193236e+01,-7.652062833387854823e+01
-3.095923340661445167e+01,-3.548175449244558877e+01,-3.469452571719857303e+01,-6.162517171277999495e+01
-3.675294817974318562e+01,-3.590130915844806481e+01,-3.406431493313805703e+01,-6.206975092300075403e+01
-3.375063321582146614e+01,-3.847315141073435285e+01,-3.841578372624168480e+01,-6.544704248243812117e+01
-3.513356923083959060e+01,-4.022842676877111501e+01,-3.863945925044169627e+01,-6.625935435076891622e+01
-4.135590759102388603e+01,-4.362825662412897287e+01,-3.878562205204472946e+01,-6.787860789038094822e+01
-3.754771758314675623e+01,-4.521308118034197321e+01,-4.473142929767853815e+01,-6.873555787853314314e+01
-3.965840062259307786e+01,-4.557298609761186725e+01,-4.612373621573016891e+01,-7.302058813579411378e+01
-4.157030020394852698e+01,-4.953840755415264852e+01,-4.926845337825857030e+01,-7.604310076720389588e+01
-4.431260772820913729e+01,-5.141349232164412086e+01,-5.103334089682749664e+01,-7.736436873035846418e+01
-4.602327132912746777e+01,-5.387311762784660374e+01,-5.265433744269833483e+01,-7.676613958663607207e+01
-4.737068749984906191e+01,-5.491999089123697075e+01,-8.748483256753978310e+01,-8.246704611947910735e+01
-3.237810254990996128e+01,-3.714135873391614240e+01,-3.661861030712812948e+01,-6.264289184231829211e+01
-3.256369984769873582e+01,-3.899491703823851196e+01,-3.896204056573718333e+01,-6.309592479258416375e+01
-3.723381244753851149e+01,-4.206951109975129555e+01,-4.225416008246187261e+01,-6.505808294997214603e+01
-3.549029521023845035e+01,-4.295485418067485028e+01,-4.423135070766706889e+01,-6.760444705611280369e+01
-3.909849140725410166e+01,-4.477066015823904621e+01,-4.434719666983430386e+01,-6.909221294735759500e+01
-4.002840084514084396e+01,-4.608880295605936084e+01,-4.553979339976232410e+01,-7.380955017022291997e+01
-4.138784258452193399e+01,-4.966478579500689960e+01,-4.917498490059598737e+01,-7.232674150111968459e+01
-4.399426120900387360e+01,-5.456123661865935048e+01,-5.185141916557718389e+01,-7.533891023540297738e+01
-4.577666554529920262e+01,-5.269656432058574325e+01,-5.372768684878726475e+01,-7.839523517359108951e+01
-4.788898641417290492e+01,-5.705679221628032849e+01,-5.636598107586631556e+01,-8.415700837436672543e+01
-4.857301132770243868e+01,-5.760577791153985316e+01,-9.396235313385662380e+01,-8.156124652744190939e+01
-3.771795808391293292e+01,-4.237467828885554866e+01,-3.557805015209467570e+01,-6.947285568722097082e+01
-3.850468767707243956e+01,-3.994565690212803588e+01,-3.600997322919924670e+01,-6.537570260127776578e+01
-3.563220336638713803e+01,-4.533975511726603003e+01,-4.101088004038246027e+01,-6.719634480229538553e+01
