episode,reward
0,-108.70195258188915
1,-145.77648469459632
2,-174.28127712872433
3,-163.04480580659316
4,-105.72495042717608
5,-204.72138672068476
6,-193.11566586661763
7,-186.34411860097367
8,-162.73135660316248
9,-153.57951177540113
10,-169.84262311586684
11,-125.01712097446438
12,-161.47162559578055
13,-225.71100633484616
14,-134.9299393348303
15,-177.93081842737055
16,-207.47491236115425
17,-115.62140460881234
18,-242.38563936078722
19,-124.5467137924902
20,-184.25386124606314
21,-103.77287133181113
22,-154.76490846587754
23,-178.00455472185408
24,-160.55509135832472
25,-173.26123200496545
26,-135.86126471074638
27,-131.9024742085101
28,-291.94077515212297
29,-126.84417427716048
30,-122.30439447698267
31,-226.04819805340426
32,-151.73868581372267
33,-160.86785222751405
34,-136.09954967292455
35,-102.71937742411352
36,-141.10519399291928
37,-152.98995961979108
38,-241.21006366641672
39,-193.90743612387357
40,-110.44543556062457
41,-175.6263666230915
42,-212.72707700492893
43,-175.43589251113417
44,-201.84844682193707
45,-164.49397740272465
46,-177.64909941948517
47,-152.89149078398924
48,-191.337755590609
49,-275.81783916557583
50,-151.04703695998478
51,-153.62881008057482
52,-154.84038852445144
53,-185.41852472641654
54,-218.71084741482215
55,-159.56306238603904
56,-87.63385166836376
57,-147.23315757755842
58,-120.80370027618159
59,-142.61328783571636
60,-172.18120675097157
61,-142.99821042832573
62,-163.16508716099924
63,-152.3653234851541
64,-149.47445272571184
65,-140.79596682130264
66,-94.53304100756516
67,-187.42858293011628
68,-158.73099587239102
69,-106.26112434390016
70,-117.56865813413394
71,-258.5329688373594
72,-115.98401026643043
73,-172.59787931758737
74,-171.80576112672708
75,-121.99634574749962
76,-136.32319547757018
77,-125.92994518916204
78,-89.29699170458122
79,-169.13100090380507
80,-135.11074437529848
81,-223.48069062338956
82,-101.05074465682819
83,-186.25266349604613
84,-211.46383935573374
85,-155.31011214457465
86,-170.0537575634927
87,-174.36752438384704
88,-189.18621332457158
89,-130.75806393352292
90,-187.01654852487925
91,-165.7766966605036
92,-179.28622378363846
93,-182.03156345541478
94,-171.84488369392528
95,-149.32828861167906
96,-212.90596881774212
97,-190.1392770849319
98,-196.59879207022374
99,-132.95245619839423
100,-207.75986439910363
101,-208.75335418778027
102,-119.54635072305342
103,-170.82496655141458
104,-182.3954843691889
105,-141.47836052504712
106,-125.20770990235128
107,-139.46848329318487
108,-171.05730866814696
109,-178.14724456664155
110,-143.36681216722724
111,-147.14992995726845
112,-127.67663918514599
113,-63.94420763153053
114,-137.71646870602433
115,-133.7814597692478
116,-148.8739934379776
117,-151.81211216649007
118,-98.87951724045446
119,-162.85683268310925
120,-192.16096748174243
121,-212.36660802678983
122,-140.39507886693642
123,-150.63789551914994
124,-156.22774813376145
