agent,reward,pending,intentional_pending,forced_pending,energy,time
Policy Iteration,-11.61653243809676,0.0,0.0,0.0,461.05852000000544,25.159849166870117
Value Iteration,-11.618698254329223,0.0,0.0,0.0,461.0590800000055,16.29570436477661
SARSA,-12.423247116281148,0.028,0.0,0.028,452.2434000000056,0.0
Q-Learning,-11.81364043118984,0.08,0.062,0.018,459.6149600000055,0.0
Random,-114.04445099779105,344.742,274.56,70.182,287.84052000000224,0.0
