agent,reward,pending,intentional_pending,forced_pending,energy,time
Policy Iteration,-12.436872580832597,0.0,0.0,0.0,458.26540000000546,24.304948806762695
Value Iteration,-12.431449016341453,0.0,0.0,0.0,458.2530800000055,15.410136222839355
SARSA,-20.44729148255053,0.0,0.0,0.0,443.18708000000544,0.0
Q-Learning,-13.323447412648811,0.0,0.0,0.0,456.11412000000547,0.0
Random,-4261.674665814448,345.642,272.286,73.356,288.05516000000216,0.0
