episode,reward
0,-5969.985628982584
1,-5287.249031739989
2,-6824.536621632785
3,-6124.830976018779
4,-7531.678743721731
5,-7568.491524324707
6,-5731.59326480153
7,-8099.116405034207
8,-4523.250826797857
9,-3860.796959481134
10,-6366.692306073466
11,-4053.184788064739
12,-5762.488436267142
13,-5830.182154557018
14,-6188.74984417478
15,-6657.745600760053
16,-5430.022463261517
17,-3922.1415494219395
18,-8233.494333269027
19,-6159.489840409964
20,-8713.742776083083
21,-4446.016720126733
22,-4637.259328225341
23,-8654.669275027243
24,-4647.034092626768
25,-4400.2571424537155
26,-3430.1408988247117
27,-5550.714514021458
28,-7277.022373447693
29,-5365.68618522347
30,-3377.633030048352
31,-6562.729015405971
32,-6969.843827825289
33,-4613.290248625878
34,-5755.6006135498965
35,-4900.7788978843055
36,-7018.367811465102
37,-6445.626554143737
38,-10229.977207865495
39,-8359.296838162163
40,-7619.019355190171
41,-5855.7369971276785
42,-7183.066957848912
43,-5778.066873367217
44,-6684.285602319771
45,-5387.617089364536
46,-4022.0478207728456
47,-3278.6081552949686
48,-5114.708395490324
49,-10221.818655478613
50,-5166.168843675314
51,-6039.5883756697895
52,-7506.839411808308
53,-10114.097327675541
54,-8447.655028238454
55,-4059.211299497189
56,-5705.144503432951
57,-4719.188364714771
58,-6815.5711509388
59,-4611.212253505785
60,-8582.80027633108
61,-4084.9416778020313
62,-8545.338233751743
63,-3401.7314366451237
64,-5451.589425607636
65,-6152.854603699921
66,-6587.905315704623
67,-7865.51115812293
68,-3889.858706616952
69,-4091.317478758805
70,-5880.718368523217
71,-12052.106653303032
72,-4626.604646784998
73,-5518.193613835775
74,-7649.7303693929925
75,-6395.536215151791
76,-6955.082110700834
77,-7412.402281729749
78,-5869.726698532317
79,-4196.391395660921
80,-9965.189098033583
81,-5987.445890654246
82,-6327.812969698755
83,-6958.252022223944
84,-7199.620957915534
85,-7171.2260273498905
86,-7394.684723993822
87,-6059.253292958748
88,-9270.366883808518
89,-2877.595812922697
90,-8034.799851000411
91,-4629.294599391757
92,-5618.898419334686
93,-9086.687476982523
94,-4911.378766199699
95,-6011.007579531279
96,-4730.716287764832
97,-3752.474975232051
98,-7524.798345859855
99,-4393.251449870626
100,-7306.352178838917
101,-6953.308061907531
102,-5095.618267661163
103,-4735.489279852275
104,-7562.861945475541
105,-8372.448759245128
106,-7048.163394466199
107,-7733.8669262972635
108,-7162.853243564657
109,-4657.473627183185
110,-8683.22790765628
111,-5268.8666413159435
112,-6144.188640559525
113,-5712.501423207815
114,-4795.476010684643
115,-5283.029163845528
116,-5095.384134048786
117,-6994.0844177933495
118,-2987.822532468553
119,-5326.341523897044
120,-8468.171383087674
121,-9877.99160591117
122,-6525.514568227295
123,-6504.489139013892
124,-7127.316041407256
125,-8611.45575599109
126,-10315.153089263813
127,-3714.1002569481548
128,-6014.107122897031
129,-6678.391055411892
130,-5432.356194045746
131,-7933.288542762499
132,-7288.336667495379
133,-8416.420725101894
134,-2849.6929722158948
135,-4749.769407329511
136,-6829.968425828281
137,-5396.192578059074
138,-5997.077267137152
139,-7643.561117660425
140,-7389.459386513857
141,-8332.721698502393
142,-7457.435334577276
143,-3627.1425251208952
144,-6621.6023509906045
145,-4247.824831053527
146,-5777.109522015948
147,-8366.583379557234
148,-7072.635118955041
149,-3716.1627700072986
150,-4810.200663300908
151,-2732.511279348572
152,-4198.260241812192
153,-4717.295000288408
154,-4769.181046972896
155,-6933.569687998255
156,-6814.592225648021
157,-3491.159278294151
158,-6209.814152987937
159,-2221.4620623994565
160,-5562.593975771349
161,-5044.384680757931
162,-8522.96968793564
163,-5933.487075106415
164,-4874.518627106509
165,-6816.822867353836
166,-5064.664712994167
167,-6799.057388141301
168,-5760.268349058093
169,-6181.397507956052
170,-7431.414064925411
171,-5828.505734837571
172,-5650.303524806634
173,-4597.664178611964
174,-6646.702212216753
175,-8509.8070372493
176,-6509.2948248628745
177,-9986.858486070554
178,-4267.927893105602
179,-9072.806324629606
180,-8105.937890268237
181,-6464.286712073769
182,-5118.20675383064
183,-2710.5845591254465
184,-8675.19273660186
185,-4087.0320008186345
186,-6979.615104104965
187,-5244.425408769572
188,-5780.779830381826
189,-8781.299036057966
190,-7408.69156949048
191,-6365.121476598539
192,-5275.864288633383
193,-7087.589825115913
194,-8927.994617999733
195,-5802.692706739133
196,-3804.5198606316653
197,-6380.041080725554
198,-8445.17840259736
199,-5057.005875556942
200,-5745.822104121183
201,-3348.4580497047423
202,-4846.3842194222925
203,-6220.225715830726
204,-6489.8857009158255
205,-5469.44907409172
206,-6478.2870391472325
207,-6285.242274279245
208,-5453.370220599868
209,-8016.212878284464
210,-3372.350003943718
211,-7688.643131148165
212,-7201.81071720699
213,-8425.358668605486
214,-4235.640857433785
215,-4707.973910697026
216,-5971.950897547851
217,-8159.050482625192
218,-6139.349312942203
219,-6240.241796011266
220,-7341.182082072495
221,-4294.965669529511
222,-5970.395649435954
223,-4388.025941984737
224,-9217.013347526054
225,-6681.589700208201
226,-7860.738407794981
227,-8465.95324803401
228,-6999.556239940738
229,-3874.9389067708903
230,-7234.153346599442
231,-9644.112969366535
232,-6038.104117609085
233,-2635.275606749995
234,-6748.647790335801
235,-3278.1182422781617
236,-6641.353019028266
237,-3411.7461263412283
238,-6350.6308899425485
239,-6272.967401890119
240,-8022.824705189586
241,-7400.57056206527
242,-7360.191983639832
243,-4881.4796956613245
244,-3867.802119277007
245,-4528.170215524852
246,-5521.326563219702
247,-6786.110097537283
248,-7734.320042023489
249,-5418.371646877414
250,-8306.526505264965
251,-7596.375058746842
252,-7441.720771098648
253,-4231.200261161101
254,-6167.109438073328
255,-7256.417890061053
256,-6739.148721155062
257,-6744.272118609082
258,-6055.165092099844
259,-4749.600214225594
260,-4729.864733807989
261,-7531.4075371209465
262,-5845.670048911851
263,-5737.671970989019
264,-4100.137898201718
265,-5150.124006246503
266,-8390.695879309327
267,-5909.979355398844
268,-9164.35913410801
269,-7790.079580444785
270,-6133.883234461446
271,-6071.828325173495
272,-8773.135473594213
273,-5159.433386935508
274,-8016.007777385743
275,-8135.608814588712
276,-4256.125611356196
277,-3286.1881363170723
278,-5431.291794092235
279,-8569.993257730028
280,-5202.562373986435
281,-3475.342480277776
282,-5656.776054124895
283,-4734.801021589577
284,-5614.668774703102
285,-8084.759432375879
286,-4197.5954810448275
287,-5699.500272103599
288,-6251.720962716392
289,-8864.770536237942
290,-4024.4775214575775
291,-8047.040661261406
292,-5115.200611979132
293,-7373.2682022428335
294,-6821.876355006295
295,-3992.9287927006085
296,-3782.9428943713665
297,-8625.031379795832
298,-5784.716962704609
299,-5308.057808451917
300,-8507.639196009517
301,-3205.0973136956363
302,-6481.96083805326
303,-2228.9183199794775
304,-4146.764763778497
305,-4590.926274525926
306,-5184.052174024114
307,-6870.375245911639
308,-3307.0552277336224
309,-6394.261282234222
310,-5444.693121949295
311,-8631.719991086373
312,-6968.592430763652
313,-8158.1796396757245
314,-9038.187546803343
315,-5712.274137599144
316,-3628.635248046204
317,-6094.017617121357
318,-4688.901627059718
319,-5683.928639161578
320,-10003.639305501627
321,-7866.150560921676
322,-2890.429963824223
323,-5645.163833809507
324,-2589.333085265241
325,-7811.143544265875
326,-6506.62548532971
327,-5936.143608122923
328,-5828.464045134622
329,-8769.60970567418
330,-6117.157614532772
331,-6093.01054168231
332,-7796.39284177468
333,-3769.642149926492
334,-6086.905403552001
335,-9244.109392659571
336,-4506.26537025405
337,-5314.860202828925
338,-5606.386913514226
339,-5921.435618914542
340,-6413.06587225387
341,-5548.84192252344
342,-6212.314861462808
343,-4433.844331179696
344,-5863.641184938031
345,-8079.285309726747
346,-6636.236667509898
347,-9453.291912241943
348,-6537.581735826233
349,-5284.252300561381
350,-10318.218193696655
351,-7391.769060688709
352,-6751.138004492142
353,-7541.491574707447
354,-5814.283492391977
355,-6384.901093215369
356,-8325.748395919069
357,-9371.608534679235
358,-6513.401811928473
359,-3801.7437215140444
360,-7633.749286540164
361,-6136.364611329657
362,-8219.772242703923
363,-4979.511431786459
364,-5039.220161680677
365,-6046.433980591856
366,-4082.035156782561
367,-10422.350981814847
368,-6731.425602160732
369,-10037.765709205478
370,-5961.693210752159
371,-8178.661247534621
372,-6214.253911326384
373,-7238.959678713156
374,-5476.681612543944
375,-6002.775970978475
376,-7160.469099364273
377,-4229.146592811877
378,-6148.834335253046
379,-3577.471894026533
380,-4147.124935288188
381,-6769.956213662022
382,-4673.221761069649
383,-7270.119523694176
384,-4577.72539638636
385,-5644.182767411383
386,-5259.9436056253835
387,-6870.144819584563
388,-6078.195598346066
389,-7264.940442670386
390,-5335.32496578801
391,-6116.236442472095
392,-4976.011752061153
393,-8347.574223044745
394,-6129.451608281585
395,-6316.824328867837
396,-7243.868555184347
397,-8846.074038989682
398,-4980.6365444569265
399,-5034.779926220861
400,-2303.115580003304
401,-4374.103830843723
402,-6019.713460922964
403,-6095.2542741649595
404,-8170.723613618565
405,-8386.707181897451
406,-4201.463398478834
407,-5368.767485494444
408,-9342.893025848854
409,-9840.101567073893
410,-5253.812250273462
411,-5417.893000259973
412,-8554.976425892617
413,-5884.536028511882
414,-6456.854846035555
415,-2877.885566981672
416,-3684.340493845622
417,-4192.739957680842
418,-7045.299363921485
419,-6427.501111476918
420,-4824.970667074824
421,-7271.465644662516
422,-5528.4631256308985
423,-5887.033427478097
424,-7522.957366013545
425,-10078.710362787317
426,-8201.227466754915
427,-5712.495076851578
428,-6865.724022211381
429,-5064.554192065317
430,-4765.633655416371
431,-3480.2867585703375
432,-5511.415372620497
433,-5976.92044971719
434,-4528.729566009348
435,-6072.967691228243
436,-4874.417041038399
437,-5657.687527110031
438,-6298.255490827361
439,-5661.604121149465
440,-6232.023700620918
441,-5165.2063571384815
442,-8584.694172105083
443,-8262.118080129201
444,-8782.152008302422
445,-10503.152922377372
446,-5058.526332386382
447,-12089.55891946521
448,-7260.870243119763
449,-4994.093691992327
450,-5677.349137418562
451,-4993.224855435808
452,-4984.025146736265
453,-4956.982333553623
454,-5156.151036191888
455,-5548.307700291956
456,-5693.240280320962
457,-8805.460218234366
458,-5718.701540721996
459,-4524.760399166229
460,-4942.597978722589
461,-4554.062670980529
462,-6190.667224169282
463,-6266.451165923623
464,-4966.573769294227
465,-4216.353996727649
466,-8856.380980972664
467,-4316.506160522677
468,-6261.15705681535
469,-7572.0025475001
470,-5423.345664213081
471,-9943.367733768597
472,-6922.646290313873
473,-7850.239043761239
474,-4006.6961768791575
475,-5447.422330451836
476,-4577.121225219626
477,-8200.392672200718
478,-8385.681940506347
479,-6942.674240157685
480,-4789.315891035075
481,-4367.183780339522
482,-6019.961094024634
483,-5270.812718337742
484,-5123.446069459822
485,-6039.146078353079
486,-7383.761048993745
487,-4902.043046839788
488,-6208.1297843773045
489,-5563.81372740652
490,-8137.202130028954
491,-6837.962540508365
492,-5073.7935484655
493,-6134.664335351705
494,-4407.959307605347
495,-9428.576366179963
496,-6182.141404842575
497,-4539.141926824468
498,-8114.461194632925
499,-6847.7740207542665
500,-4300.748639403763
501,-5822.138220707042
502,-6208.289453253304
503,-6600.109408685999
504,-4340.763439884853
505,-4704.451308537119
506,-7631.034130492651
507,-2927.057723707865
508,-3950.5988873468445
509,-8994.108375641394
510,-5356.006048758647
511,-12471.235076083703
512,-6008.925153707868
513,-6961.155571732806
514,-1693.7639045302951
515,-6023.1163695926625
516,-3935.024082076285
517,-4908.213078599931
518,-6780.764043552268
519,-5231.156882864635
520,-6118.876893424061
521,-7947.646433966413
522,-5542.755171526908
523,-5085.783341424594
524,-7060.007173136693
525,-8304.620706015394
526,-4011.9455919550323
527,-4253.36384502223
528,-6054.654015883376
529,-7903.632865915072
530,-5311.32743699689
531,-5868.282203131643
532,-6917.741556762463
533,-3380.9201656687055
534,-8550.020631268522
535,-4414.299569154686
536,-6859.335731174594
537,-4047.0179890006566
538,-10041.773149831457
539,-4582.17624703627
540,-5631.522943032988
541,-7120.233013546602
542,-4454.234419627288
543,-4674.023352360301
544,-6786.622781133133
545,-4488.843180803061
546,-7169.285003659173
547,-9042.406622983506
548,-5375.851446414166
549,-4173.358412737719
550,-4098.2075355280285
551,-11064.481094231609
552,-5085.16539660703
553,-9328.655692039914
554,-4478.965045768414
555,-5514.028633734324
556,-8095.046543799399
557,-2973.6477880713696
558,-3115.7444378245596
559,-6767.401790458431
560,-7964.71802155227
561,-5397.772494090358
562,-4562.836396465278
563,-5508.5133869347965
564,-5430.460834160308
565,-6605.553038820576
566,-4987.664746633901
567,-4257.185155193648
568,-3090.111025083477
569,-6713.591483537106
570,-7591.210769196683
571,-8698.376057980266
572,-10558.978176322298
573,-7357.119974799741
574,-8458.848530916808
575,-2564.8594179043193
576,-7119.6552948365215
577,-6619.9634285262
578,-7524.441659424357
579,-5923.635959435004
580,-5225.136873668177
581,-5082.839919194281
582,-7020.41634706271
583,-6382.167707796277
584,-9715.240408082422
585,-6163.978523633609
586,-7730.930565118308
587,-5208.901414541959
588,-4772.480842590305
589,-5932.680729090022
590,-6056.821650449887
591,-7694.429516927341
592,-5688.944381263549
593,-4295.1242768808825
594,-6792.515823765982
595,-2641.3492886219346
596,-6859.1998501586595
597,-8679.709622936456
598,-7073.861659269595
599,-7032.604003068353
600,-5779.122660671826
601,-4367.767750227129
602,-2810.1925335870187
603,-3300.8748878508804
604,-7128.094987157632
605,-8253.405296951254
606,-2891.38040094174
607,-8027.53762893661
608,-3538.6561189279237
609,-3795.566077065526
610,-5257.7781509948945
611,-5896.954510294488
612,-6029.988456701264
613,-5632.576751953164
614,-7687.802260905059
615,-6928.2804244082745
616,-7893.587929495089
617,-6848.507458958233
618,-5757.230857329412
619,-4138.8376524918
620,-7635.236753782395
621,-7655.0006277849325
622,-4946.185473395695
623,-6280.25243015243
624,-5057.5440923429
625,-8449.275823618238
626,-7243.076856867668
627,-5304.399217482688
628,-6586.471378535025
629,-5546.876143808716
630,-3875.858005984394
631,-6058.027946184595
632,-7331.670384492173
633,-7916.882067828257
634,-2766.436158026864
635,-4961.17724375798
636,-7838.524380896068
637,-6018.443128721164
638,-6285.706223982193
639,-6931.750945183025
640,-7596.608562397981
641,-6217.589930846617
642,-5452.138889089461
643,-8223.815898194782
644,-3035.650197252814
645,-7118.612129931554
646,-7230.641312908971
647,-5696.415967617269
648,-5349.543553919338
649,-7246.058317272678
650,-3939.900830287086
651,-6239.923945203435
652,-4588.5787577259725
653,-6396.312153221577
654,-4598.171351205186
655,-6370.918704143443
656,-6949.774878013219
657,-5483.673284489765
658,-7716.880074239827
659,-5173.946144001616
660,-2348.707597331557
661,-6443.232688759586
662,-4200.243852421275
663,-5747.431540293945
664,-4789.072831014705
665,-5797.755786039795
666,-6990.491384363899
667,-4940.397430911525
668,-7054.2685261450915
669,-5694.828121532029
670,-6412.590613858214
671,-5526.559687205009
672,-5690.109537882877
673,-5890.797914412859
674,-4008.5597096433044
675,-6462.2529603215
676,-3299.5261544709333
677,-5550.131360833348
678,-3874.356417804862
679,-5729.916239097141
680,-8419.272054820765
681,-5146.894920777864
682,-6013.868629418169
683,-9034.863087117705
684,-4242.513325321018
685,-4282.685443173444
686,-5183.33788632309
687,-6852.358395974134
688,-9228.879595462002
689,-5940.515627998613
690,-6734.187135107146
691,-4405.211804107292
692,-5997.0755835380405
693,-7156.438482779431
694,-8399.903970802623
695,-4459.0750665939395
696,-2914.9971271407976
697,-6584.563086956996
698,-5480.056795858181
699,-7167.536534436269
700,-6219.541026080597
701,-3203.485196886944
702,-5375.80316390706
703,-5704.462634804939
704,-4808.316166903823
705,-3989.2922563618763
706,-2323.223654005948
707,-7668.002510481552
708,-4507.168284041464
709,-8186.336865448076
710,-3038.112756479132
711,-5283.955553537726
712,-6716.058374355775
713,-5422.066772942996
714,-9176.0457112381
715,-4842.534470507978
716,-7087.436884698047
717,-5701.408943109022
718,-7359.825559006116
719,-4259.604324999531
720,-9939.040610888238
721,-5822.920741831789
722,-5236.4505537375635
723,-7989.304485878539
724,-6792.597939376977
725,-6080.208204398263
726,-5827.528103761924
727,-4797.342032279384
728,-4793.93086121075
729,-9486.159663169876
730,-4221.2367921908135
731,-4275.690731054208
732,-3091.494945566172
733,-6376.846246269963
734,-4891.062820522493
735,-7589.616742420853
736,-3199.6000004821058
737,-4897.759727859776
738,-7808.323164742687
739,-7875.387270578723
740,-7059.598793638588
741,-8162.343908014928
742,-5000.3471873442095
743,-6647.7747774939735
744,-6404.710309232938
745,-10173.986838179258
746,-4570.861140517988
747,-3711.412593380539
748,-2593.509882780982
749,-9189.11422711476
750,-6318.7582076278395
751,-3275.1042290895743
752,-4321.852441565712
753,-5787.302583603002
754,-4680.169195347008
755,-6858.759176593147
756,-5720.676808036925
757,-4529.145162923058
758,-6586.965415520642
759,-6273.816218625314
760,-6761.252087403188
761,-3528.772741354973
762,-8139.722962499726
763,-7411.992439353974
764,-5453.676534629742
765,-6419.111728457213
766,-6247.158498902613
767,-7804.797151490173
768,-4571.0330300544965
769,-8413.51706462705
770,-4737.873198484404
771,-6026.488196301172
772,-4399.186232435459
773,-6158.284165831008
774,-4861.283804006335
775,-8549.730938546352
776,-5352.562206936314
777,-5061.158373703787
778,-5156.808948800206
779,-4102.1497144494515
780,-5677.766128171479
781,-7390.285329957321
782,-8861.77748002352
783,-2966.150603530039
784,-6065.7569095155795
785,-5983.693331541768
786,-8588.86924593528
787,-5664.76401203868
788,-10020.880915361959
789,-4577.204607033476
790,-6581.802498258924
791,-7760.169561795207
792,-9302.094801069992
793,-6397.396711842467
794,-6658.775698618742
795,-7992.490536964072
796,-6459.973205578019
797,-6109.820190798443
798,-9837.432456444121
799,-3734.0749223935386
800,-7498.075575215217
801,-6220.241690151252
802,-4900.568190719413
803,-3934.610215226861
804,-5618.38694439921
805,-6647.422382175139
806,-8056.575740676413
807,-6195.636938798557
808,-5264.683043245861
809,-5477.977703681064
810,-8741.660962090615
811,-5785.002186251165
812,-6542.870110464556
813,-4641.842390427354
814,-5926.240289018743
815,-5153.396682055722
816,-6174.928466621639
817,-5951.847563130934
818,-6940.927250884357
819,-4221.3759186522
820,-6040.742672625855
821,-9881.732021478003
822,-7002.41664362991
823,-8946.995674195723
824,-4603.366220433959
825,-5317.79711164426
826,-5303.2570176266445
827,-4551.559852419748
828,-7704.670251123226
829,-6708.3636155568865
830,-4259.956616678821
831,-8872.086066485102
832,-6194.074819228349
833,-6380.183582160184
834,-7359.518138584404
835,-4733.850153749457
836,-7902.759214846552
837,-6532.841982689574
838,-5865.600187884027
839,-6105.93710727011
840,-5705.567598105052
841,-3487.387805438738
842,-5598.476798755994
843,-4367.271505845548
844,-5911.369472964489
845,-6970.019786724259
846,-6603.37723524082
847,-5324.535401970549
848,-4512.671922228451
849,-4590.175686221791
850,-5856.805431065172
851,-4846.0862443162
852,-7944.605328762359
853,-3845.052498463812
854,-4703.475906978523
855,-10048.923619943535
856,-10116.251379832818
857,-7878.966207102648
858,-4481.907633815736
859,-8327.348365201637
860,-6182.429628381343
861,-4589.145246372542
862,-6826.898847808529
863,-4157.079876966873
864,-6589.069007746872
865,-6881.539901970768
866,-3660.244405111549
867,-5311.109092342738
868,-4754.17597215784
869,-6257.105456379356
870,-7927.6744018697655
871,-7336.240370342513
872,-6364.293128564954
873,-7492.141086185309
874,-6484.512500708685
875,-5794.493212618628
876,-4630.722112572568
877,-5985.050545064819
878,-6218.411750037622
879,-7516.6400373824035
880,-7984.267988294327
881,-6253.466550289522
882,-8838.065216076568
883,-4600.793579790016
884,-8583.65232004902
885,-7763.844509087477
886,-7570.141390482232
887,-4715.603172030383
888,-3304.334751920972
889,-7224.026165350706
890,-6453.792770316909
891,-5091.326095676197
892,-6299.709043907766
893,-7319.294000397414
894,-6160.293357381938
895,-5377.105740092639
896,-6126.029635878019
897,-5658.635044933922
898,-4271.796501473477
899,-5492.374119038024
