agent,reward,pending,energy,time
Policy Iteration,-11.19471979207057,0.0,459.85476000000546,20.169477939605713
Value Iteration,-11.197648493099235,0.0,459.8451600000055,14.168212413787842
SARSA,-11.954542815245757,0.0,451.9518000000054,2077.7016503810883
Q-Learning,-12.036671300865374,0.0,451.64324000000533,1880.3264083862305
Random,-114.5088181638067,343.134,288.70308000000216,0.0
